Project Name,Stars,Forks,Commits,isFork,Branch,Contributors,Size,Comment Lines,LOC,Blank Lines,Java,,,Incalculable due to TIME LIMIT,Tutorial repository,Noting Refactoring
davidb/scala-maven-plugin,556,150,1137,FALSE,master,60,6589,1147,5019,809,227353,,,11,2,1
junit-team/junit4,8502,3236,2513,FALSE,main,148,24340,7448,31232,6670,1449307,,,,,
unclebob/fitnesse,2011,712,6065,FALSE,master,116,74305,3229,85133,17752,3538008,,,,,
connectbot/connectbot,2471,627,2234,FALSE,main,59,8656,4874,18198,3445,838479,,,,,
cwensel/cascading,342,222,2528,FALSE,4.5,28,33516,49276,103829,30763,5766799,,,,,
apache/jspwiki,105,101,9398,FALSE,master,18,103728,38209,58901,16786,5003144,,,,,
jdbi/jdbi,1952,341,5654,FALSE,master,133,27632,28623,71297,17807,3954183,,,,,
apache/pig,676,449,3738,FALSE,trunk,12,91891,78924,269787,52215,15389811,,,,,
apache/xmlgraphics-batik,208,139,3581,FALSE,main,6,171087,121707,192293,47474,12255497,,,,,
apache/openjpa,136,131,5365,FALSE,master,19,39239,185188,461734,98831,24615169,,,,,
apache/maven-release,114,133,1184,FALSE,master,51,4380,10132,23239,5975,1531983,,,,,
qos-ch/slf4j,2306,979,2121,FALSE,master,77,12284,10980,14183,4006,992235,,,,,
sgothel/jogl,311,141,7327,FALSE,master,42,158871,108525,254655,44370,16561485,,,,,
ervandew/eclim,1040,129,4910,FALSE,master,34,101564,10438,24900,5167,1229994,,,,,
tootallnate/java-websocket,10372,2565,1170,FALSE,master,70,4203,7576,13648,2705,827421,,,,,
brianfrankcooper/ycsb,4886,2221,1307,FALSE,master,147,32613,9862,25112,4988,1391101,,,,,
jenkinsci/gerrit-trigger-plugin,210,275,1947,FALSE,master,112,6000,17285,29247,5544,2036050,,,,,
sevntu-checkstyle/sevntu.checkstyle,190,147,1456,FALSE,master,62,212946,12473,28577,6328,1608230,,,,,
cbeust/jcommander,1941,332,1110,FALSE,master,82,33680,3187,7963,2034,435906,,,,,
vrapper/vrapper,1103,150,2621,FALSE,master,32,10067,5730,39385,7254,2030505,,,,,
jboss-modules/jboss-modules,271,208,1307,FALSE,2.x,54,11267,10122,19760,3449,1279800,,,,,
weld/core,382,285,8335,FALSE,master,100,57357,93136,158112,39958,10792189,,,,,
apache/karaf,668,656,9555,FALSE,main,158,70587,41296,128890,24339,7313823,,,,,
cyclestreets/android,212,216,1674,FALSE,master,19,15147,1290,10961,2441,503098,,,,,
square/retrofit,42532,7262,2225,FALSE,trunk,155,6188,5861,27450,4651,1202904,,,,,
errai/errai,275,191,7800,FALSE,main,69,222754,100268,173556,48106,10803137,,,,,
kiegroup/jbpm,1621,1191,4306,FALSE,main,127,336618,86375,295342,69151,17620712,,,,,
pholser/junit-quickcheck,954,121,1208,FALSE,master,33,18286,12069,28714,9271,1651765,,,,,
rest-assured/rest-assured,6795,1871,2309,FALSE,master,146,11283,27931,41358,9551,2248756,,,,,
validator/validator,1670,266,4245,FALSE,main,63,24891,14211,39020,6219,2181580,,,,,
jenkinsci/jira-plugin,168,280,1529,FALSE,master,81,10142,1294,12490,2425,586571,,,,,
