Refactoring Type,Total,Mean,Median,Variance,Standard Deviation,Min,Max,Percentage,Total,Mean,Median,Variance,Standard Deviation,Min,Max,parcentage,Production[%] / Test[%],Test[%] / Production[%] ,(Production[%] + Test[%])/2
SPLIT_CONDITIONAL,7930,20.28132992,7,3812.300138,61.74382672,1,935,0.001441618976,128,1.802816901,1,2.389134809,1.545682635,1,9,0.0001086741499,13.26551878,0.07538340691,0.0007751465631
MERGE_CONDITIONAL,9665,25.9811828,8,8519.867569,92.30312871,1,1508,0.001757029938,182,2.71641791,2,15.72139303,3.96502119,1,29,0.0001545210569,11.37081232,0.08794446445,0.0009557754973
ENCAPSULATE_ATTRIBUTE,38706,90.64637002,36,44798.45446,211.6564539,1,2295,0.007036482232,1325,7.528409091,3,252.9020455,15.90289425,1,128,0.001124947255,6.254944133,0.1598735302,0.004080714743
CHANGE_TYPE_DECLARATION_KIND,4652,13.60233918,5,849.5657423,29.14731106,1,386,0.0008457013213,181,2.513888889,1,9.520931142,3.085600613,1,19,0.0001536720401,5.503286875,0.1817095897,0.0004996866807
EXTRACT_INTERFACE,4960,14.09090909,6,779.2623673,27.91527122,1,338,0.0009016935842,197,2.626666667,1,13.64252252,3.693578552,1,21,0.0001672563088,5.391088626,0.185491293,0.0005344749465
MERGE_PARAMETER,6746,19.44092219,7,2025.513118,45.00570095,1,513,0.001226375992,280,4.444444444,2,88.6702509,9.416488246,1,68,0.0002377247029,5.158807548,0.1938432459,0.0007320503473
INVERT_CONDITION,6423,17.99159664,5,4684.379143,68.44252437,1,894,0.001167656833,274,4.644067797,2,136.9918177,11.70435037,1,90,0.0002326306021,5.019360403,0.1992285709,0.0007001437175
PUSH_DOWN_ATTRIBUTE,12956,41.39297125,13,20827.89957,144.3187429,1,2196,0.002355310902,554,7.386666667,3,114.4565766,10.69843804,1,57,0.000470355305,5.007514271,0.1996998802,0.001412833104
SPLIT_PARAMETER,2791,8.561349693,3,601.3116092,24.52165592,1,264,0.0005073844342,137,3.605263158,1,50.29943101,7.092209177,1,37,0.0001163153011,4.362146936,0.2292449142,0.0003118498676
REORDER_PARAMETER,6276,18.6231454,6,2702.479582,51.98537854,1,570,0.001140933253,334,4.84057971,2,96.66538789,9.831855771,1,78,0.0002835716099,4.023439629,0.2485435578,0.0007122524314
REPLACE_PIPELINE_WITH_LOOP,932,6.427586207,2,198.9131226,14.10365636,1,146,0.0001694311332,55,2.037037037,1,3.806267806,1.950965865,1,10,0.00004669592379,3.628392361,0.2756041521,0.0001080635285
