code_type,metric,refactoring_type,statistic,p_value,n_pairs,effect_size_r,count,mean,std,min,25%,50%,75%,max
test,DIT,PARAMETERIZE_VARIABLE,0,1,64,1,64,163.719,1309.75,0,0,0,0,10478
production,LOC,REPLACE_ATTRIBUTE,176,0.249,30,0.243,30,158.967,507.256,-299,-51,-6.5,173.75,2435
test,DIT,PULL_UP_OPERATION,274,0.076,113,-0.297,113,115.717,1231.51,-2,0,0,0,13091
production,DIT,EXTRACT_CLASS,5649,0.748,1315,0.028,1315,94.055,1286.303,-4,0,0,0,17672
test,LOC,MOVE_SOURCE_FOLDER,1960635938,0,138503,0.548,138503,73.553,199.067,-1869,-5,25,90,2674
production,FANIN,PULL_UP_ATTRIBUTE,35108.5,0.005,575,0.158,575,50.864,125.027,-110,-1,0,2,349
test,DIT,CHANGE_RETURN_TYPE,3.5,0.04,633,0.806,633,44.476,816.036,-1,0,0,0,17675
production,LOC,SPLIT_OPERATION,20.5,0.005,21,0.76,21,41.762,127.4,-34,0,11,36,589
test,LOC,REPLACE_ATTRIBUTE,3,1,3,0,3,41,84.894,-10,-8,-6,66.5,139
test,LOC,MOVE_RENAME_ATTRIBUTE,52,0.423,16,0.235,16,34.625,129.787,-120,-23.75,21,42,453
production,DIT,MOVE_OPERATION,67984,0.001,3206,-0.144,3206,32.92,761.351,-7,0,0,0,17672
production,DIT,REMOVE_PARAMETER_ANNOTATION,1.5,0.586,756,0.5,756,31.163,856.833,-1,0,0,0,23559
production,LOC,MERGE_VARIABLE,1210.5,0.1,94,0.214,94,26.755,168.791,-414,-2,0,6,1351
production,DIT,EXTRACT_INTERFACE,970481.5,0,9896,0.758,9896,26.525,789.763,-5890,0,0,1,23567
test,LOC,PARAMETERIZE_ATTRIBUTE,24,0.078,17,0.543,17,25.706,68.856,-33,0,7,16,273
test,LOC,SPLIT_OPERATION,26,0,26,0.84,26,23.731,97.608,-378,10.5,18,34.5,206
production,DIT,REMOVE_METHOD_ANNOTATION,3659,0,3215,-0.525,3215,21.661,615.018,-8,0,0,0,17672
production,NOF,REPLACE_ATTRIBUTE,111.5,0.064,30,0.41,30,20.867,53.325,-25,-6,0.5,18.75,204
production,WMC,REPLACE_ATTRIBUTE,181,0.294,30,0.222,30,17.867,71.653,-157,-10.5,2.5,23.25,267
test,LOC,MERGE_VARIABLE,6,0.102,12,0.667,12,16.417,29.336,-2,-0.25,0,21.75,91
production,DIT,MOVE_ATTRIBUTE,59441.5,0.008,2322,-0.122,2322,15.029,539.715,-5887,0,0,0,17671
test,LOC,EXTRACT_OPERATION,25445,0,777,0.817,777,14.014,56.231,-718,3,8,21,934
production,NOPF,REPLACE_ATTRIBUTE,10,0.008,30,0.81,30,12.967,37.887,-1,0,0,3,185
production,LOC,MOVE_AND_INLINE_OPERATION,394937.5,0.074,1603,0.057,1603,12.549,256.599,-2609,-29,0,37,2305
test,LOC,ADD_PARAMETER_MODIFIER,210,0.211,62,0.251,62,11.258,97.687,-208,0,0,8,718
production,LOC,ENCAPSULATE_ATTRIBUTE,108577,0,1834,0.844,1834,11.033,34.3,-534,3,6,14,673
production,DIT,PULL_UP_OPERATION,26647.5,0,1052,-0.51,1052,10.871,771.206,-5938,-1,0,0,23565
test,WMC,MOVE_SOURCE_FOLDER,1928411119,0,138503,0.545,138503,10.435,26.966,-170,-1,5,17,312
production,NOM,REPLACE_ATTRIBUTE,149.5,0.144,30,0.313,30,10.267,29.48,-28,-3,1,15.25,124
production,LOC,EXTRACT_OPERATION,1538898,0,6722,0.81,6722,10.077,47.536,-1381,2,7,16,725
production,WMC,SPLIT_OPERATION,20.5,0.001,21,0.823,21,9.905,30.491,-6,1,2,4,141
test,LOC,SPLIT_ATTRIBUTE,8,0.359,7,0.429,7,9.571,19.586,-2,-0.5,1,8.5,52
test,LOC,MODIFY_PARAMETER_ANNOTATION,3,0.024,50,0.867,50,8.78,30.604,-3,0,0,0,168
production,LOC,SPLIT_CONDITIONAL,5031.5,0,581,0.911,581,8.42,34.708,-344,2,5,8,600
test,LOC,REPLACE_ANONYMOUS_WITH_CLASS,18,0.206,11,0.455,11,8.273,21.941,-29,0.5,8,18.5,47
test,LOC,RENAME_METHOD,222659.5,0,2733,0.627,2733,8.15,35.349,-355,0,0,9,793
test,NOM,MOVE_SOURCE_FOLDER,2219400720,0,138503,0.471,138503,8.106,24.589,-163,-2,3,13,293
production,LOC,MERGE_OPERATION,10,0.547,7,-0.286,7,8,39.522,-18,-9.5,-5,1,96
production,DIT,MODIFY_METHOD_ANNOTATION,1.5,0.586,2216,0.5,2216,7.972,375.278,-1,0,0,0,17666
test,LOC,ENCAPSULATE_ATTRIBUTE,94,0,56,0.878,56,7.839,33.435,-214,3,6,12.5,54
test,LOC,ADD_PARAMETER,22585.5,0,786,0.631,786,7.784,51.536,-679,0,0,9,653
test,LOC,MOVE_CODE,6096.5,0,231,0.439,231,7.74,31.542,-221,-2,2,13.5,125
production,NOPF,PULL_UP_ATTRIBUTE,2478,0,575,0.692,575,7.593,19.732,-100,0,0,0,128
test,NOPM,MOVE_SOURCE_FOLDER,2304268506,0,138503,0.444,138503,7.575,24.29,-159,-2,3,12,291
