code_type,metric,refactoring_type,statistic,p_value,n_pairs,effect_size_r,delta_count,delta_mean,delta_std,delta_min,delta_25%,delta_50%,delta_75%,delta_max
production,NOF,Unknown,4376487402938,0,5639865,0.05,5639865,-0.398,9.197,-616,-2,0,2,521
production,NOPF,Unknown,173351807645,0,5639865,0.025,5639865,-0.125,5.626,-616,0,0,0,409
production,NOM,Unknown,5365161343495,0,5639865,0.054,5639865,-0.774,16.299,-871,-3,0,3,1724
production,NOPM,Unknown,5047652144854,0,5639865,0.04,5639865,-0.472,13.646,-648,-2,0,2,1156
production,LOC,Unknown,6726880950357,0,5639865,0.055,5639865,-5.423,117.137,-3877,-31,-1,23,3929
production,WMC,Unknown,5537651978374,0,5639865,0.066,5639865,-1.617,26.377,-1739,-6,0,4,3022
production,NC,Unknown,201970063441,0,5639865,0.029,5639865,-0.036,1.691,-66,0,0,0,126
production,DIT,Unknown,657866105657,0,5639865,-0.001,5639865,0.05,73.534,-23559,0,0,0,23567
production,LCOM,Unknown,3938882531370,0,5639865,-0.035,5639865,0.024,0.917,-2,-0.5,0,0.75,2
production,FANIN,Unknown,2958163176621,0,5639865,0.067,5639865,-0.769,15.348,-845,-2,0,1,678
production,FANOUT,Unknown,4492910627580,0,5639865,-0.015,5639865,0.05,4.045,-180,-1,0,2,131
production,Broken Hierarchy,Overall,157929643861,0,5639865,-0.004,5639865,0.001,0.385,-9,0,0,0,6
production,Broken Hierarchy,Unknown,157929643861,0,5639865,-0.004,5639865,0.001,0.385,-9,0,0,0,6
production,Broken Modularization,Overall,8748893933,0,5639865,0.017,5639865,-0.003,0.186,-2,0,0,0,2
production,Broken Modularization,Unknown,8748893933,0,5639865,0.017,5639865,-0.003,0.186,-2,0,0,0,2
production,Cyclic Hierarchy,Overall,218508,0,5639865,0.008,5639865,0,0.015,-2,0,0,0,2
production,Cyclic Hierarchy,Unknown,218508,0,5639865,0.008,5639865,0,0.015,-2,0,0,0,2
production,Cyclic-Dependent Modularization,Overall,31901642292,0,5639865,0.054,5639865,-0.011,0.263,-1,0,0,0,1
production,Cyclic-Dependent Modularization,Unknown,31901642292,0,5639865,0.054,5639865,-0.011,0.263,-1,0,0,0,1
production,Deep Hierarchy,Overall,5130,0,5639865,0.001,5639865,0,0.006,-2,0,0,0,1
production,Deep Hierarchy,Unknown,5130,0,5639865,0.001,5639865,0,0.006,-2,0,0,0,1
production,Deficient Encapsulation,Overall,140243361881,0,5639865,0.046,5639865,-0.014,0.377,-10,0,0,0,9
production,Deficient Encapsulation,Unknown,140243361881,0,5639865,0.046,5639865,-0.014,0.377,-10,0,0,0,9
production,Hub-like Modularization,Overall,2968992,0,5639865,0.006,5639865,0,0.026,-1,0,0,0,1
production,Hub-like Modularization,Unknown,2968992,0,5639865,0.006,5639865,0,0.026,-1,0,0,0,1
production,Imperative Abstraction,Overall,46146014,0.101,5639865,-0.001,5639865,0,0.049,-2,0,0,0,1
production,Imperative Abstraction,Unknown,46146014,0.101,5639865,-0.001,5639865,0,0.049,-2,0,0,0,1
production,Insufficient Modularization,Overall,51303117120,0,5639865,0.051,5639865,-0.012,0.3,-10,0,0,0,9
production,Insufficient Modularization,Unknown,51303117120,0,5639865,0.051,5639865,-0.012,0.3,-10,0,0,0,9
